amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,Drawdown_Start_Date,Drawdown_End_Date,scheme_name,fund_house,category,sub_category,plan,expense_ratio_pct,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Fund_Rank
125497,0.286975804558778,0.18429918008610047,,0.7895427197023169,0.17729754927531766,0.04882040425957739,-0.15200013055606398,2023-12-22,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Direct,0.92,55.00000000000001,55.00000000000001,62.5,67.5,57.49999999999999,58.62,15
118635,0.22510248103762276,0.2000321571698329,,0.6803950621402514,0.1513635464823924,-0.001433521389780124,-0.1165062450540909,2022-01-03,2022-06-09,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,Direct,0.89,60.0,52.5,45.0,70.0,77.5,58.38,16
118633,0.25559539940517384,0.21084691029380598,,0.6596198173038663,0.1564383594816967,-0.03663900671860936,-0.18629743138595511,2023-10-30,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,Direct,0.72,65.0,47.5,47.5,87.5,37.5,57.75,17
102885,0.20222858595384663,0.19662361245910964,,0.8328147683762686,0.17048756803412696,-0.019486785689474522,-0.1085986215250232,2022-02-03,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,Regular,1.57,57.49999999999999,60.0,55.00000000000001,17.5,85.0,54.38,18
148568,0.14279834500870736,0.14744434832760533,,0.9393621577599311,0.20873010086942337,-0.026387719943843025,-0.1527259422823477,2023-09-05,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,Regular,1.52,42.5,65.0,67.5,35.0,55.00000000000001,53.25,19
120503,0.08495135972254553,0.13974980348212673,,0.8125023019488146,0.17703302365844073,-0.040268952369820595,-0.13897862823061635,2023-09-19,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,Regular,1.42,40.0,57.49999999999999,60.0,52.5,67.5,53.0,20
120507,0.07430320855847317,0.07392538786263403,,0.9041623305389646,0.06746210411099539,-0.0004440926329707229,-0.0009773140045925555,2025-10-16,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,Regular,0.74,30.0,62.5,25.0,85.0,100.0,52.38,21
120506,0.4185299002066023,0.18417429266835228,,0.6621241011051737,0.1625385327998104,0.041896462728119775,-0.1982565826298267,2023-03-31,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,Regular,1.41,52.5,50.0,52.5,55.00000000000001,35.0,50.5,22
119093,0.19781538524100495,0.20811559826631898,,0.14404122210428386,0.08232801295222093,0.02588321244009315,-0.21751396370148224,2022-02-24,2023-05-22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,Direct,0.75,62.5,27.500000000000004,32.5,82.5,25.0,47.0,23
102887,0.1359304393755194,0.25549670172502026,,0.6323192432780438,0.16211256794033255,0.016682689437770844,-0.21539827112383225,2022-01-03,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,Regular,1.64,70.0,45.0,50.0,2.5,27.500000000000004,45.38,24
120844,0.07125369741102916,0.06694394239074852,,0.3042518233343443,0.06455677495375998,-0.0004007442394784014,-0.0011629327956168556,2024-04-12,2024-04-30,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,Regular,0.6,27.500000000000004,32.5,22.5,95.0,97.5,44.88,25
149322,0.1812461925339035,0.1803973982038829,,0.47809172805239786,0.13173190226099432,-0.004050271130006523,-0.14844576917771746,2022-01-03,2022-02-04,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,Regular,1.54,50.0,40.0,42.5,25.0,62.5,43.5,26
125498,0.15455077019290386,0.11242518737374207,,0.31160409740522205,0.11989100971217971,0.009054412621739151,-0.21117279560132118,2025-04-04,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,Direct,0.78,37.5,35.0,37.5,77.5,30.0,42.12,27
120841,0.1684955152939842,0.1726301444443794,,0.5092559163430064,0.13042924450705445,0.0363563990221998,-0.1757361416468729,2024-01-09,2025-02-14,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,Regular,1.59,47.5,42.5,40.0,15.0,42.5,39.38,28
118634,0.158228664455887,0.080060298597036,,0.4564261243061778,0.1750072167561127,0.10349663691337589,-0.2334488614483311,2025-04-09,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,Regular,1.53,35.0,37.5,57.49999999999999,30.0,22.5,38.12,29
119120,0.05525880326360788,0.05838988442093762,,-0.1757233632822942,0.05620895216638369,-0.006413850728276462,-0.04328728923970093,2024-09-16,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,Regular,0.77,22.5,15.0,17.5,80.0,90.0,35.0,30
118636,0.1046246278808034,0.04061259859840338,,-0.30601321923949254,0.05074772999976104,0.0012566742731558514,-0.08316361763638702,2023-02-09,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,Regular,0.55,20.0,7.5,15.0,100.0,87.5,34.62,31
101208,0.07241777200393584,0.06314299292105274,,-0.41722938246152697,0.060861457957871144,0.0002667096833823837,-0.0016224980244717857,2023-09-05,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,Regular,0.79,25.0,5.0,20.0,75.0,95.0,33.5,32
100025,0.03707552701889649,0.03915479354684703,,-0.515437823586193,0.042817920315060876,0.0011582183155281456,-0.04308263824636349,2023-05-23,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,Regular,0.56,17.5,2.5,7.5,97.5,92.5,31.25,33
120842,0.22518986942465924,0.0775416750547262,,0.08727318479040212,0.0780443887615508,0.018056874208118138,-0.24003511326274884,2023-11-09,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,Regular,1.56,32.5,25.0,30.0,20.0,20.0,27.0,34
119599,0.13957994357447734,-0.01337083602283895,,-0.04910116945430194,0.048824215945539845,0.0620018043826717,-0.5257422117012851,2023-01-17,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Direct,0.72,7.5,20.0,12.5,87.5,2.5,23.12,35
119092,0.0161022963455828,0.005257668501786883,,0.045245322990343645,0.0689952982167755,0.009730745001153646,-0.1440161790933726,2023-10-12,2025-02-07,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,Regular,1.64,12.5,22.5,27.500000000000004,2.5,65.0,21.75,36
101207,-0.24000309180292634,-0.04151453816140693,,0.1704806951883158,0.10897091901704538,-0.06528924788351523,-0.3544691649336603,2024-11-21,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,Regular,1.53,5.0,30.0,35.0,30.0,7.5,21.25,37
119095,-0.42819495166622135,-0.11703299329834216,,-0.06792567846937406,0.048015953637759554,-0.06695117463929204,-0.5167775370852656,2025-05-22,2026-05-11,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,Regular,1.38,2.5,17.5,10.0,57.49999999999999,5.0,16.25,38
100016,-0.022257773892688015,0.012923525892154508,,-0.1876504687862401,0.03747580763443281,-0.05826843143880892,-0.24734440880673303,2022-03-30,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Regular,1.55,15.0,12.5,5.0,22.5,17.5,13.75,39
102886,-0.16807959958672036,-0.007672319440258146,,-0.19470738058320322,0.028969397866379445,-0.042125029021894356,-0.2800112356639287,2025-01-07,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,Regular,1.51,10.0,10.0,2.5,40.0,15.0,13.5,40
